DSI Project,description,tech,tags,url,open democracy,new ways of making,awareness networks for sustainable change,collaborative economy,open access,social innovation
Internet services. studies and advice in strategic usage of Internet,Our vision:All people have easy and affordable access to a free and open internet to improve their lives and create a more just world.Our mission:To empower and support organisations. social movements and individuals in and through the use of information and communication technologies (ICTs) to build strategic communities and initiatives for the purpose of making meaningful contributions to equitable human development. social justice. participatory political processes and environmental sustainability.,open-networks,participation-and-democracy started-in-101993 social-development social-movements,http://data.digitalsocial.eu/id/activity/bb061214-1e4d-0fca-9818-a492fd3dec06,,,,,1,1
Neighbourhood Ideas Exchange,A simple toolkit for local communities to use to help them set up grassroots-based knowledge networks. ,open-knowledge,work-and-employment participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/91805095-e6cb-5610-922b-0036003ec099,1,,1,,,
SCALE for open innovation,In different areas in which the user-driven innovation is the process of co-creation of new services. products and infrastructure:- Search and accelerator of projects and products internationally (view 5 or 10 years).- Search for information on the latest trends in technology and international market as an integrator of the protagonists of these trends.- Partnership: local. regional. national. European and international SMEs. clusters...- Leader of testing and innovation projects.- Facilitator of products and services.- Sale: licensing. distribution. etc.- Start-ups- Living Lab Methodology: involving different parts of the global value chain excellence with international agents anywhere in the world.,open-networks,health-and-wellbeing education-and-skills energy-and-environment,http://data.digitalsocial.eu/id/activity/a56fdc05-f511-4b18-a2fc-eeefc0b48356,,,,,,1
Developing www.airesis.eu. A social network for E-Democracy,Propose solutionsA place to report problems. propose solutions. discuss alternatives. to summarize shared. A powerful tool to enhance collective intelligence.Get involved into e-democracyJoin Groups. choose who represents you and participate in events according to your interests. Together we are stronger.Choose your futureA decision-making tool to determine innovative choices within groups. A simple voting system. which realizes direct and liquid democracy.Work in your best interestShare your experiences. improves the proposals of others. Discover new friends who think like you. Realize your ideas with others.,open-data,participation-and-democracy,http://data.digitalsocial.eu/id/activity/e00b5f2e-c29e-d8b1-12ef-6007c7f0cd1e,1,,,,1,
Cidadania 2.0,This is an online platform designed to promote projects and initiatives that use online social tools and social networks to:* improve dialogue between citizens* foster communication between citizens and public institutions (N:M)* increase active citizen participation.The goals of this website are:* increase awareness of these projects* promote synergies between promoters* attract volunteers. useful contacts and resources which give these projects a boost. ,open-data,health-and-wellbeing participation-and-democracy finance-and-economy energy-and-environment neighbourhood-regeneration cities,http://data.digitalsocial.eu/id/activity/9960c316-2dea-713a-2231-6aa1d4d4ee63,1
DecarboNet,A lack of collective awareness negatively impacts perceived personal efficacy. which hampers efforts to address societal problems. DecarboNet is a multidisciplinary effort to tackle this problem by identifying determinants of collective awareness. translating awareness into behavioural change. and providing novel methods to analyse and visualise the underlying processes. The project’s core innovations are built around a context-specific repository of carbon reduction strategies. This “decarbonisation methodology” will increase awareness not only of existing problems. but also of best-practice solutions and the impact of individual actions. To continuously refine this repository. the DecarboNet platform will utilise citizen-generated content in a societal feedback loop that enables an adaptive process of social innovation.,open-data,participation-and-democracy education-and-skills science energy-and-environment,http://data.digitalsocial.eu/id/activity/368b2df1-6fcd-54a4-b7ec-0adb47e295b9,,,1,,,
Media Watch on Climate Change,Acquiring. managing and applying knowledge are crucial steps in addressing environmental issues effectively. and ensuring that change is conceived and implemented on both regional and society-wide scales. To increase awareness and the availability of environmental information. the Media Watch on Climate Change provides a comprehensive and continuously updated account of media coverage on climate change and related issues. The portal aggregates. filters and visualizes environmental Web content from Anglo-American news media sites. social media. environmental organizations and the Fortune 1000 companies. Collaborative services support the day-to-day activities of environmental stakeholders through knowledge aggregation and extraction. a document editing environment with real-time content recommendations. and advanced visualization services.,open-data,participation-and-democracy education-and-skills science energy-and-environment,http://data.digitalsocial.eu/id/activity/82c3696a-af60-e1cd-8a86-882b1a7b6446,1,,1,,,
Andaluciasostenible.com,Andaluciasostenible.com is a project developed in Andalucia. Spain. It consists in an interactive website where share best practises in Sustainable Local Development that are managed by local government autorithies. associations Citizen participation and Companies from the region . The site also has a e-library where we share documents about Susteinable Local Development. In our Agenda we share exhibitions and events related with sustainable development.,open-networks,participation-and-democracy cities sustainability local-community-government-and-environment energy-and-enviroment sustainable-mobility,http://data.digitalsocial.eu/id/activity/90f3c5ec-e94e-24eb-42ed-721b64673d00,,,1,,,
CITI-SENSE,Crowd sourcing environmental sensor data from citizens,open-networks,health-and-wellbeing participation-and-democracy science energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/920bef93-8a78-a479-183c-0590031d7fac,1,,1,,,
Open government,Government.GitHub.com is a platform for local. regional and federal governments to share and collaborate on code. data. policy. and more.,open-data,participation-and-democracy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/795d9077-66ed-f1c7-5f32-c6f3e9736b42,1,,,1,,
Greater Manchester Data Synchronisation Programme,The Greater Manchester Data Synchronisation Programme (GMDSP) is a partnership project with Connected Digital Economy and Future Cities Catapults that works with the local authorities and public bodies of Greater Manchester to identify common data that can then be released as Linked data. The programme builds support structures and places Code Fellows into the host organisations.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/f42d3358-faa2-f4bf-96fe-2b9b587f8f33,,,,,1,
AsktheEU.org,AsktheEU.org is a single portal for filing requests with European Union public bodies. The goal is to make it easier for members of the public to ask for information. The website should also save EU bodies the work of answering the same requests more than once since all correspondence is being automatically available online. AsktheEU.org will contribute to making the EU more transparent. accountable. and promoting public participation in decision making.,open-knowledge,participation-and-democracy,http://data.digitalsocial.eu/id/activity/1347e62b-2fb8-123c-6cbf-024debc5bcfc,1,,,,1,
TuDerechoaSaber.es,Somos la primera web en España que te facilita solicitar información a cualquier institución pública española. Pide lo que quieras. Nosotros nos encargamos de hacérsela llegar al responsable y te avisamos cuando responda. Todo el proceso es transparente y público para que tú y el resto del mundo podáis seguirlo. Proyecto de Access Info Europe y Fundación Ciudadana Civio,open-knowledge,participation-and-democracy participation access-to-information democracy,http://data.digitalsocial.eu/id/activity/5bdafd3d-c898-b08d-ae6f-4b0958734ba3,1,,,,1,
Nationaal Congres Open Data,At the Nationaal Congres Open Data latest developments. results and value creation are addressed.Keynotes by Open Data Gurus. spectacular cases and hands-on knowledge sharing are the main ingredients.,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/787a2f05-c98d-3b4a-7507-3181fefbc6b2,,,,,1,
crowdfunding. crowdsourcing. encouraging entrepreneurship. boosting creativity,,open-networks,education-and-skills culture-and-arts finance-and-economy,http://data.digitalsocial.eu/id/activity/73163f22-181d-072d-2f0c-b2679608f5a0,,,,1,,
Creating ecosystem for crowdfunding creative projects,We aim at helping creative minds experience the perfect journey from idea to implementation.,open-networks,health-and-wellbeing participation-and-democracy culture-and-arts,http://data.digitalsocial.eu/id/activity/2f7ffd63-22b6-4b5e-034a-a5d5728f0347,,,,1,,
Luisteren naar Amsterdam Zuid,Soundtrackcity doet sinds half augustus veldonderzoek naar de geluidservaringen van en met individuele stedelingen in een afgebakend gebied in Amsterdam Zuid. Het onderzoek met de titel Luisteren naar Amsterdam zuid is een verkenning en heeft een experimenteel karakter. We werken aan een goede methodiek om buurtbewoners te betrekken in het onderzoeksproces.,open-knowledge,health-and-wellbeing participation-and-democracy,http://data.digitalsocial.eu/id/activity/d28423d1-5714-48f6-7b39-f4dc966a0eb9,
Project99,Co-designing Internet based approaches to support youth mental health,open-knowledge,health-and-wellbeing participation-and-democracy youth-mental-health,http://data.digitalsocial.eu/id/activity/27cf081e-92e5-02e6-f130-c6290c192194,1,,,1,,
Rotterdam Open Data,Rotterdam Open Data is initiated by Rotterdam University of Applied Sciences. the City of Rotterdam and Rotterdam SME's. The network stimulates the use of technology to empower the self-organisation of people and businesses.,open-data,health-and-wellbeing participation-and-democracy energy-and-environment neighbourhood-regeneration mobility port,http://data.digitalsocial.eu/id/activity/7688ba2f-14a9-0c7e-6755-db4af4689ff5,,,,,1,
OpenStreetMap,,open-networks,health education security water-and-sanitation elections,http://data.digitalsocial.eu/id/activity/ea7b6fa4-3a93-f970-1ab8-1467633962a7,,,,1,1,
Hack days,,open-data,participation-and-democracy education-and-skills technology participation innovation democracy public-sector data open-data public-services collaboration apps research-and-development government citizens,http://data.digitalsocial.eu/id/activity/6844c2fd-1050-78ce-64db-3556082215dd,1,,,,1,
Asili e benessere,Una comunità di asili che accedono ai servizi delle grotte di sale (non solo Respiro del Mare. ma qualsiasi Grotta di Sale appartenente al network. la più vicina. comoda grotta di sale rispetto all'asilo) in modo semplice ed innovativo. ottenendo il miglioramento del benessere per i piccoli.,open-knowledge,asili-e-benessere,http://data.digitalsocial.eu/id/activity/eeb27f95-6a14-74d7-e68c-d84aa7d46275,
Innovation Development and Training,,open-networks,unemployed-people jovbseekers teachers vulnerables-groups,http://data.digitalsocial.eu/id/activity/43ad1f56-de0b-709f-f045-7210262c94eb,1
P2P carsharing,Need a car? Rent it from your neighbours. Tapazz allows you to rent your car to others whenever you are not using it yourself. You set your own price per hour and per km and you decide whom to share it with. Tapazz: ride here. ride now.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration mobility environment,http://data.digitalsocial.eu/id/activity/20ac95a4-c9fc-a18d-9998-59ccad72c9ab,,,,1,,
Measuring Impact,Social Impact Tracker is a secure online data application that allows frontline organisations to gather qualitative and quantitative data and indicators. Its built around our key social objective of 'self-impact' i.e.. to easily capture. customise and report on your social impact.,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts neighbourhood-regeneration social-enterprise community-development ocial-enterprise health--well-being youth skills--employment women-centres older-people-and-creative-arts,http://data.digitalsocial.eu/id/activity/c23288f2-d148-89d4-7981-4558a2987baf,1,,1,,,
Our Digital Community,A peer network and support programme for organisations interested in pioneering the development of social and community enterprise using digital technologies.,open-networks,work-and-employment health-and-wellbeing culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/4bfcb5e4-7006-301c-d2a0-a7fb658fdfb8,1
Design for Social Innovation through Social Computing,This DESIS is both a research and an education facility. Education-wise. every semester the Lab accommodates 50-80 students. working on about 10 to 15 projects around the topics of design for social computing and social interaction. The students are from all years. from 1st year bachelors to last year masters. Students from the 1st and 2nd year bachelor studies will be working in teams of 4-6. supervised by 1 teacher. supported by several coaches. Students from the 3rd year bachelors and the masters will be carrying out the projects individually. also under the supervision of 1 teacher and several experts.All these projects are proposed together preferably with an industrial client. The clients play an important role in the setting. Not only do the clients bring in the industrial and societal relevance. also the students will get much more motivated in conducting a “real” project for a real client. The clients are also invited to visit the projects not only at the mid- and end-term exhibitions. but also during the course of the project. providing requirements. insights and feedback.Around the topics of social computing and social interaction. additional workshops and presentations are organized. for the students to get relevant background knowledge and theories as well as hands-on skills. Mid-term and end-term exhibitions are organized. for the students to show their designs to the teachers. clients. external visitors and to other students. to share the results and to get the feedback.Many of the teachers are also researchers. Their research interests are mostly coupled to the projects by the researchers proposing and supervising the related topics. Researchers can benefit from the results and in turn the research results can be used as valuable input for the projects. Researchers are also encouraged to propose the projects together to incubate the further cooperation.,open-data,health-and-wellbeing education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/9caa2724-d43d-5970-30bd-972323ec19c5,1,,,1,,
The Wikirate Project,Bringing radical transparency to the activities of companies,open-networks,participation-and-democracy sustainability open-knowledge ethical-business,http://data.digitalsocial.eu/id/activity/0ecb58de-e83f-9cf1-b872-cc367d47b69a,1
Petitions. Campaign and citizen Mobilizasition ,We sign it is a Petition. campaign and mobilization platform. In 3 clics you can create your petition. mobilize citizen. crowdfund and change things. It is viral and can help you organise your network and touch the maximum of people to support.,open-networks,blogging,http://data.digitalsocial.eu/id/activity/2a983a2d-72fb-39ac-26ec-914941679dd7,1,,,1,,
Building a semantic. social & distributed web to facilitate organisation & collaboration of the transition's world,- To put technological innovation in the service of social and societal innovation- Make possible the construction of self-organizing systems of actors. ideas and projects so that they are mutually reinforcing.- In collaboration with our partners. contribute to the development of a vibrant and lively ecosystem transition.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/12125bba-91ea-d8a1-7760-a9454ab82cb2,1,,1,1,,
Babele - create together ,Babele is solving this problem by creating an online innovation-center offering entrepreneurs a step-by-step collaborative business planning tool. It helps entrepreneurs structure their idea into a viable business model. validate it with the crowd and find the right people to help them develop it. This online platform uses a crowdsourcing approach to innovation.We believe that sustainability should be a key factor in project design; therefore we encourage startups to in-clude the social and environmental impact in their business strategy. We plan to actively promote collaboration by providing reputation credits whenever members of the community do something good to support a startup.Babele aims to introduce a new paradigm in the way projects are shaped and managed based on open source collaboration by engaging local communities and individuals in the design and implementation of sustainable development projects. ,open-networks,participation support-for-start-ups,http://data.digitalsocial.eu/id/activity/0a527764-a8c8-88d7-bd42-9d9b2f49c837,,,,1,1,
The world's platform for politics,Voxe.org is an international team of young innovators that build online tools that help contextualize. compare and debate political platforms. We believe in the power of social innovation to help forge an informed electorate. We seek to re-shape public debate by bringing to the fore what matters most: the content of each candidate’s proposals and the actual futures they make possible. Our tools. available as web and mobile applications. also integrate in-house videos. research and open data. ,open-networks,participation-and-democracy democracy,http://data.digitalsocial.eu/id/activity/e49feb8b-c88b-5b93-e327-59d4d24e9dbf,1
OpenLocal,OpenLocal is an open source software platform for creating websites tailored to the needs of local communities.,open-networks,work-and-employment participation-and-democracy education-and-skills finance-and-economy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/8f01832e-462e-02a3-6129-b6ec50ced244,1
The Civic Crowd,The Civic Crowd aims to map amazing initiatives and ideas for citizen-powered change. providing an open public domain resource where people can: SHARE the Projects they are working on and get feedback and Support from the community.DISCUSS Ideas for improvements to their area and help realise them through local collaboration.OFFER their skills and Support for the benefit of the community.APPRECIATE great Projects or Ideas to express their gratitude and backing.PROPOSE Actions they are willing to take to help others realise their Projects.VOLUNTEER to Support each other to turn Proposals into reality.The Civic Crowd is inspired by the Compendium for the Civic Economy. Hand Made. the Community Lover's Guide to the Universe series. and the Britain's 50 Top New Radicals project by The Observer and NESTA; but the map belongs to everyone...,open-knowledge,work-and-employment education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/11def3cc-1d53-9482-9330-cf9a1f3a6d29,1,,,,1,
FormArea Campus,FormArea Campus is an educational lab. made to help people facing an employability problem.To face their unsatisfactory working condition people are coached and supported to boost their personal and social resources. to produce ideas. services or products for the urban area they’re living in. Transforming their individual needs in a collective answer or project. Improving their lives by improving other’s lives.Teaching activities point to develop participant’s competencies and skills: economy. creativity and arts. including marketing ad communication. networking and social networks to enrich their social capital.Our ambition is to help ideas and projects. supporting individual’s work transitionsand stimulating an autonomous productivity that involves a social dimension.The model is based on two steps. The first is about individual empowerment. competence development. creativity enhancement and project management. The second is focused on project development and networking activities to create stakeholders networks in a givenlocal area.We nurture participated projects where unemployed talents (selected on a motivational basis) produce ideas and services that may offer strategic assets to local welfare.We believe in people’s potential and social resources. in latent creativity and insights to play an active role in driving local communities out of the crisis.,open-knowledge,work-and-employment education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/4aa0d9e6-9871-3a84-c2ae-b0595ba7d3bf,1
Laborlab,A citizen laboratory for inventing new jobs. http://citilab.eu/en/projects/laborlab ,open-knowledge,work-and-employment,http://data.digitalsocial.eu/id/activity/f9b75821-63ae-2bb7-d285-ec9023efd649,,1,,,,
Hemmerling Online Directory ,Hemmerling Online Directory  is an online directory similar to OpenDirectory and Yahoo! Directory. but with focus of providing collaboration structures for German / European software developers- User groups. forums. newsgroups- Organisations and its local meetings in Germany / Europe- Links to free and OpenSource tools - Links to free education. trainings and tutorials. both of commercial companies and non-commercial organisationsCurrently. as of 2014-01. the online directory provides about 700 manually edited pages ( and so about 700 topics ) . mostly in English language.,open-networks,work-and-employment education-and-skills information-hub-for-both-search-engines-and-human-users resourse-for-topics-specific-forums---newsgroups---communities---organisations---local-meetings,http://data.digitalsocial.eu/id/activity/08fecc6b-038b-eb80-4b01-b33c7989668e,,,,,1,
Systemic Research,We investigate systemic deviation,open-networks,all-areas,http://data.digitalsocial.eu/id/activity/a9360c44-f4ea-1bc3-6428-938f0d502812,1,1,1,1,1,
EduKit,TripAdvisor style database for the Youth Charity and Social enterprise sector. Personalised matching to programmes based on student interests and needs.,open-data,education-and-skills,http://data.digitalsocial.eu/id/activity/d79e0539-0d99-c0fe-f62b-9bf2cc4aabf1,,,,1,,
European Network of community reporters ,We believe that listening to the authentic voice of people can lead to social innovation to shape and improve the world around us.People's Voice Media manages a network of like-minded organisations across Europe and North America who seek to empower people by gathering stories about their lives and insights into the services. products and policies that impact on their lives.,open-knowledge,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/c7075383-dc37-b078-5537-83baa2be9701,1,,,1,,
FabSchool,Through hands-on workshops in FabLab. a high-tech workspace. Fabschool project wants to research how to give youngsters the tools they need for tomorrow's society: art. creativity. entrepreneurship and critical reflection. as well as to find out how creative design processes and working spaces can play a role in education.,open-knowledge,education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/96f95c92-73ef-b095-a14b-76a678fbc8c8,,1,,,,
Timebank Amsterdam,Timebank.cc is a platform where knowledge and skills are exchanged by using 'time'. Open and non-commercial. Timebank provides the possibility to share and develop skills and knowledge. Users offering or requesting services contact each other online through the website. or offline at Live Sessions held every month. They pay each other in 'Hournotes': every 'Hournote'  denotes one hour of work. Timebank supplies a tool by which professionals in the creative sector can request and offer services. extend their network. and deepen and improve their competences. In this way Timebank support professionals in realising their projects and ideas. and it enhances their independence from clients and subsidies.,open-knowledge,work-and-employment education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/18dd5b20-d577-732a-ed1d-4f61b9c25044,,,,1,,
Apps For Ghent IV,4th annual open data co-creation event,open-networks,environment-and-sustainability,http://data.digitalsocial.eu/id/activity/a2bf1ca4-9f9c-8bd3-d758-9b707e3dde10,,,,1,,
Dialogue Cafe Amsterdam,Dialogue Café uses state of the art video conferencing technology to enable face-to-face conversations between diverse groups of people from around the world so that they can share experiences. learn from each other and work together to make the world a better place. Dialogue Café is a platform for innovation and creativity – enabling organisations and individuals to forge new links. consolidate existing ones and create new collaborations and projects.,open-data,education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/6a6ba9f0-0495-3d40-0385-30f4c7723509,,,,1,,
RICHES,The project RICHES (short for: Renewal. Innovation and Change: Heritage and European Society) explores the link between cultural heritage institutions and our personal experience of identity and belonging.,open-knowledge,education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/83267e9b-d703-6d2e-bb4f-e2f0cfe58383,,,1,,,
Pioneering the use of digital methods in human rights and asylum research,Asylos is a network of volunteers providing research for asylum claims in Europe. Founded in 2010. it was created to respond to a dysfunctional asylum system in the EU. which fials to live up to its own legal and ethical standards.  We use all available sources online to provide the most up-to information to lawyers representing asylum seekers. ,open-networks,participation justice rights asylum citizen-engagement,http://data.digitalsocial.eu/id/activity/66fd2ef9-e018-692a-0e67-7e39701adda0,1
Open Source Electronic Democracy,We believe that improved democracy is the path to a more equal world. The Internet offers an unique opportunity to reinvent democracy. https://yrpri.orgThe Citizens Foundation is a non-profit based in Reykjavik. Iceland. Your Priorities is a service that provides a website for every country in the world. free of charge. Groups. cities. or countries can also use this service to improve their communities.Better Reykjavik is the most successful example of a Your Priorities website. There is now an open collaboration between the Reykjavik City Council and Better Reykjavik.,open-knowledge,participation-and-democracy,http://data.digitalsocial.eu/id/activity/2c03e11a-2752-8ac2-8c2d-66c3e7c5cb13,1
meSch,The project meSch (Material EncouterS with digital Cultural Heritage) is a 4-year EU funded project with the goal of co-designing novel platforms for the creation of tangible exhibits at heritage sites: curators will be able to offer visitors new interactive experiences by means of material interaction with smart objects.,open-networks,education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/77a5d72c-e53d-1ff7-1d95-18b16f04ea3e,,,1,,,
Digital eBook in Sign Language,Sign Language is seen as the language of deaf people. But it can be much more than this. It can help people learn other languages. It can help with memory. It can help learners who struggle with reading. We are creating a digital eBook that explains the concept of Onomatopoeia to children using sounds. visuals. narratives and sign language. Combined with lesson plans. this resource will be useful for teachers in the classroom. The blog www.playbyeye.com explores visual learning through sign language. follow us to stay up to date! ,open-knowledge,education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/885c368b-d773-08cf-6405-1cf864d552fc,,,,1,,
Product development,1. Work with UK local government to locate pioneering authorities2. Work with international tech company to provide single-solution. homeworking suite,open-knowledge,work-and-employment health-and-wellbeing finance-and-economy,http://data.digitalsocial.eu/id/activity/5ecd73ec-aab8-35ba-de6a-bf8c058d95cb,1
Express to Connect,The overall objective for the Express to Connect consortium was to develop. test and deploy a service that stimulates and facilitates personal storytelling. It also enables interest-based connections and communications among elderly people. hereby empowering them and enriching their lives.As an result of this project. three iPad games were developed. All games have in common that they want to trigger storytelling and conversation by using personal material in an interactive way.,open-knowledge,health-and-wellbeing,http://data.digitalsocial.eu/id/activity/6d40bbc5-c724-b50a-d8bc-f59fe7dbe4d6,1,,,1,,
WEAVE - ZigZag,ZigZag is the main output of the project 'Weaving Europe: Artefacts. Values & Exchanges - Cycles of cultural events and ateliers to discover Culture and Art through Textiles and Fibre Artefacts in Europe' (WEAVE!).Within ZigZag. three collective textile artworks will be made by the children. artists. designers and staff of various museums. This will happen at three free public events in the Netherlands. Bulgaria and Italy. In preparation for these events. the children will learn more about the various (technical) aspects of textiles in twelve educational sessions. A Best Practices Guide will be created and shared with other museums and a photo exhibition will be created that shows the entire process. The project also provides training opportunities and opportunities for sharing knowledge for the staff of museums.,open-knowledge,education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/5d9ba85f-2ab0-29b4-aff7-c4d59bf6a1d3,
KiiCS,"KiiCS - Knowledge Incubation in Innovation and Creation for Science - is a new. three year European project gathering creative people. scientists and young adults. The project aims at stimulating creativity and innovation through new forms of interactions between arts and science. or so called ""Art & Science Incubation” actions.",open-knowledge,education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/a0669e35-5cac-bd2b-46a4-9638e4bc9eae,,1,,1,,
ECLECTIS,ECLECTIS (European Citizens’ Laboratory for Empowerment: CiTIes Shared) encourages citizens to learn more about their own living environments. by conducting curiosity-driven research and experiment with art forms to share their findings.The project consists of artist-in-residencies and workshops in Amsterdam. Barcelona. Kotor. Ljubljana. Paris and Torres Vedras. At these workshops. the arts. urban planning. architecture and new technologies will be intregrated. Artists will guide citizens in their quest to find answers for local issues. through innovative and artistic projects. They will use experimenting tools. DIY research tookist and methods.,open-knowledge,health-and-wellbeing education-and-skills science culture-and-arts energy-and-environment,http://data.digitalsocial.eu/id/activity/f995d027-9bd9-b970-cfb4-e1cf5da2df61,,1,1,,,
Designers & Artists 4 Genomics Award,The Designers & Artists 4 Genomics Award (DA4GA) aimed to stimulate emerging designers and artists to delve into the world of bio-art. and produce new work together with the Netherlands most prestigious Genomics Centres. in the field of sustainability. food. health. bio-informatics. agriculture. and safety.,open-knowledge,health-and-wellbeing education-and-skills science culture-and-arts energy-and-environment,http://data.digitalsocial.eu/id/activity/1aec99b9-bb5b-7a56-2d5d-e3741a8e3273,,1,,,,
Do It Together Bio,A series of public events under the guidance of DIY biologists. scientists and artists: real human blood cell tournaments (Kathy High). electrified gardening (Phoef & Plant-E). DIY algae reactor engineering; biotic food modification. fun and functional DNA diagnostics. future cooking and cooking the future (Centre for Genomic Gastronomy. Zack Denfeld & Cat Kramer) and more. ,open-knowledge,health-and-wellbeing education-and-skills science energy-and-environment,http://data.digitalsocial.eu/id/activity/44afefec-aa3c-9e7f-0f94-87eb68d8f571,,1,,,,
Making Custard,Working with communities to develop custard.,open-knowledge,disenfranchised-youth,http://data.digitalsocial.eu/id/activity/863dccf4-17b5-51db-f42f-8d0435455834,
Fixers,Using digital means to start conversations about the issues young people are concerned about today. using their experiences and their voice. Real People. Real Life. Real Change.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/1dc38ace-08db-a52c-16c7-ec9691b7baf8,1
Commons4EU,Code for Europe: Developing collaborative web projects following the methodology of Code for America based on principles rather than on sectors and by opening existing code in the participating cities and leveraging the European EPSI platform. following a certain model. They should:- Be web/mobile applications- Enable cities to connect with their constituencies in ways that reduce administrative cost and engage citizens more effectively- Support the move toward transparency and collaboration- Be shareable. meaning that an application built for one city could be used by any other city,open-knowledge,participation-and-democracy energy-and-environment,http://data.digitalsocial.eu/id/activity/470cdb68-cb29-1740-be1c-13301dcd0f79,1
Crowdfunding the Commons ,"Goteo is a social network for crowdfunding and distributed collaboration (services. infrastructures. microtasks and other resources) for encouraging the independent development of creative and innovative initiatives that contribute to the common good. free knowledge. and open code.  A platform for investing in ""feeder capital"" that supports projects with social. cultural. scientific. educational. technological. or ecological objectives that generate new opportunities for the improvement of society and the enrichment of community goods and resources. ",open-data,work-and-employment science technology social-entrepreneurs participation education social-movements democracy culture communication production,http://data.digitalsocial.eu/id/activity/4cbf7b58-5e47-6be9-0bfa-006114111951,,,,1,,
Innovation Shared Centres,Social innovation applied to Barcelona's citizens,open-knowledge,health education,http://data.digitalsocial.eu/id/activity/b7d30e48-60cd-34b1-73cc-3b65668fdbf2,,,,1,,
Culture innovation,,open-networks,participation-and-democracy culture politics new-institutions,http://data.digitalsocial.eu/id/activity/913a0010-71c9-0ec0-cbc8-99ecc6bcc51b,1,1,1,1,1,
Project Stentor: smart city dashboard for neighbourhoods,Stentor. in Greek mythology. was a herald who was famous for his powerful voice. Project Stentor helps data to speak. It is a pilot project to build a prototype open-source. comparative city dashboard that synthesizes. analyzes and maps complex datasets so city leaders and decision-makers can better understand the dynamics of the places they manage. Project Stentor will address the problem of disparate data sources being hard to access because they are siloed in different departments. exist in a variety of formats. or live in individual. specialist systems owned by different organizations.The project is a collaboration between Mastodon C. a technology company specializing in open source. cloud-based big data technologies and Social Life.  Project Stentor is funded through the Technology Strategy Board's Future Cities Solutions Competition. which is a Small Business Research Initiative to stimulate solutions in three areas where UK cities face many of the same specific challenges: in energy. data and transportation. Project Stentor was one of the winners of the competition within the data stream.,open-knowledge,health-and-wellbeing participation-and-democracy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/29cf3a0c-535f-7cb6-ca3f-2db183112c7b,,,1,,,
Open Source 3D creation,Blender Foundation facilitates free/open source projects to develop a complete creation pipeline for 3D media and film.,open-data,education-and-skills science culture-and-arts finance-and-economy,http://data.digitalsocial.eu/id/activity/bd82e195-4aa6-e742-106e-0c4cd8502fc0,,1,,,,
Social Networking place for people helping people to move from one EU country to another for work,A community based peer based platform to help young people ease the process of finding a job in another EU country.,open-networks,work-and-employment,http://data.digitalsocial.eu/id/activity/a90154a6-a89a-ffd4-a7f9-26cc3864f787,,,,1,,
